CREATION_DATE,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE
2021-06-08T18:36:59,OPS 4682 (SNAPSHOT),1965-027A,2021-06-08T11:09:08.421120,12.91762439,0.0031358,90.278,324.2192,36.9359,16.7905,0,U,1314,999,39415,0.0001108,0.00000037,0,7672.674,111.476,1318.599,1270.479,PAYLOAD,LARGE,US,4/3/1965
2021-06-08T18:36:59,SECOR 4 (EGRS 4),1965-027B,2021-06-08T12:47:25.926144,12.92613424,0.002982,90.2666,333.8849,313.0735,109.8318,0,U,1315,999,64998,-0.00020284,-0.00000048,0,7669.306,111.402,1314.041,1268.301,PAYLOAD,MEDIUM,US,4/3/1965
2021-06-08T18:36:59,EXPLORER 27,1965-032A,2021-06-08T10:14:22.656768,13.38649733,0.0258598,41.185,306.4977,122.7497,239.846,0,U,1328,999,74243,0.00010043,-0.00000019,0,7492.45,107.571,1308.069,920.562,PAYLOAD,LARGE,US,4/29/1965
2021-06-08T22:26:11,OPS 8480 (TRANSIT 5B-6),1965-048A,2021-06-08T20:23:50.798400,13.51401177,0.0073354,89.9189,305.3539,347.9016,122.9912,0,U,1420,999,75609,0.000010048,0.00000016,0,7445.245,106.556,1121.724,1012.496,PAYLOAD,LARGE,US,6/24/1965
2021-06-08T18:36:59,TIROS 10,1965-051A,2021-06-08T08:21:08.156448,14.4031192,0.0056229,98.3345,280.8473,192.2659,167.7164,0,U,1430,999,93168,0.000012022,-0.00000004,0,7135.605,99.978,797.593,717.347,PAYLOAD,MEDIUM,US,7/2/1965
2021-06-08T18:36:59,SECOR 5 (EGRS 5),1965-063A,2021-06-08T10:18:10.391616,11.7864051,0.078587,69.2305,142.2564,180.5178,340.2269,0,U,1506,999,40203,7.98E-06,-0.00000031,0,8156.07,122.175,2418.896,1136.974,PAYLOAD,MEDIUM,US,8/10/1965
2021-06-08T18:36:59,DODECAPOLE 2,1965-065C,2021-06-08T12:31:01.594272,13.95410129,0.0037354,90.0342,15.7843,209.5448,150.3619,0,U,1510,999,77617,0.00028277,0.00000396,0,7287.87,103.195,936.958,882.512,PAYLOAD,LARGE,US,8/13/1965
2021-06-08T18:36:59,TEMPSAT 1,1965-065E,2021-06-08T11:25:11.076096,13.3343582,0.0069841,89.8949,222.1331,2.4014,61.0398,0,U,1512,999,71553,7.05E-06,0.00000013,0,7511.969,107.992,1186.298,1081.369,PAYLOAD,SMALL,US,8/13/1965
2021-06-08T22:16:10,OPS 8464 (TRANSIT 5B-7),1965-065F,2021-06-08T19:48:57.861216,13.34984154,0.0067911,89.8791,239.4218,287.0506,195.5772,0,U,1514,999,71702,0.00010705,0.00000063,0,7506.159,107.866,1178.999,1077.049,PAYLOAD,LARGE,US,8/13/1965
2021-06-08T18:36:59,NAVSPASUR ROD 1,1965-065G,2021-06-08T04:28:00.816384,13.48871437,0.0055819,89.923,219.4742,207.5922,208.5551,0,U,1515,999,73278,0.000061611,0.00000048,0,7454.551,106.756,1118.026,1034.805,PAYLOAD,SMALL,US,8/13/1965
