time (yyyy-MM-dd),irradiance (W/m^2)
15/04/1994,1360.8173828125
15/05/1994,1360.73937988281
15/06/1994,1360.75122070313
15/07/1994,1360.70446777344
15/08/1994,1360.70764160156
15/09/1994,1360.57275390625
15/10/1994,1360.66271972656
15/11/1994,1360.78662109375
15/12/1994,1360.70910644531
15/01/1995,1360.7734375
15/02/1995,1360.85876464844
15/03/1995,1360.712890625
15/04/1995,1360.67553710938
15/05/1995,1360.68188476563
15/06/1995,1360.72998046875
15/07/1995,1360.72875976563
15/08/1995,1360.77001953125
15/09/1995,1360.75024414063
15/10/1995,1360.67712402344
15/11/1995,1360.72863769531
15/12/1995,1360.70446777344
15/01/1996,1360.69982910156
15/02/1996,1360.6796875
15/03/1996,1360.61743164063
15/04/1996,1360.64794921875
15/05/1996,1360.6669921875
15/06/1996,1360.66943359375
15/07/1996,1360.662109375
15/08/1996,1360.68249511719
15/09/1996,1360.74279785156
15/10/1996,1360.69201660156
15/11/1996,1360.56018066406
15/12/1996,1360.79162597656
15/01/1997,1360.75390625
15/02/1997,1360.75561523438
15/03/1997,1360.75830078125
15/04/1997,1360.74572753906
15/05/1997,1360.77941894531
15/06/1997,1360.76672363281
15/07/1997,1360.79479980469
15/08/1997,1360.84875488281
15/09/1997,1360.66149902344
15/10/1997,1361.01477050781
15/11/1997,1360.88940429688
15/12/1997,1360.90734863281
15/01/1998,1361.04577636719
15/02/1998,1360.947265625
15/03/1998,1360.83569335938
15/04/1998,1361.16186523438
15/05/1998,1361.07141113281
15/06/1998,1361.10180664063
15/07/1998,1361.34106445313
15/08/1998,1361.15393066406
15/09/1998,1361.10925292969
15/10/1998,1361.49194335938
15/11/1998,1361.34802246094
15/12/1998,1361.48059082031
15/01/1999,1361.69360351563
15/02/1999,1361.40551757813
15/03/1999,1361.44836425781
15/04/1999,1361.35864257813
15/05/1999,1361.52954101563
15/06/1999,1361.41638183594
15/07/1999,1361.54077148438
15/08/1999,1361.58532714844
15/09/1999,1361.7041015625
15/10/1999,1361.2265625
15/11/1999,1361.3662109375
15/12/1999,1361.47546386719
15/01/2000,1361.77380371094
15/02/2000,1361.59619140625
15/03/2000,1361.38549804688
15/04/2000,1361.63195800781
15/05/2000,1361.27563476563
15/06/2000,1361.38732910156
15/07/2000,1361.50891113281
15/08/2000,1362.02209472656
15/09/2000,1361.4140625
15/10/2000,1362.03063964844
15/11/2000,1361.88830566406
15/12/2000,1361.99438476563
15/01/2001,1361.80993652344
15/02/2001,1361.83752441406
15/03/2001,1361.37377929688
15/04/2001,1361.33264160156
15/05/2001,1361.58923339844
15/06/2001,1361.48828125
15/07/2001,1361.71752929688
15/08/2001,1361.42053222656
15/09/2001,1361.15539550781
15/10/2001,1361.77978515625
15/11/2001,1361.4296875
15/12/2001,1361.88732910156
15/01/2002,1362.4296875
15/02/2002,1362.25756835938
15/03/2002,1362.04895019531
15/04/2002,1361.52038574219
15/05/2002,1361.56774902344
15/06/2002,1361.63403320313
15/07/2002,1361.00634765625
15/08/2002,1361.19323730469
15/09/2002,1361.35192871094
15/10/2002,1361.46252441406
15/11/2002,1361.36853027344
15/12/2002,1361.79650878906
15/01/2003,1361.62805175781
15/02/2003,1361.5869140625
15/03/2003,1361.12683105469
15/04/2003,1361.11010742188
15/05/2003,1361.07666015625
15/06/2003,1360.95361328125
15/07/2003,1361.09826660156
15/08/2003,1361.17126464844
15/09/2003,1361.28454589844
15/10/2003,1360.30676269531
15/11/2003,1361.056640625
15/12/2003,1361.18054199219
15/01/2004,1360.99072265625
15/02/2004,1360.99108886719
15/03/2004,1361.01989746094
15/04/2004,1361.06213378906
15/05/2004,1360.89562988281
15/06/2004,1360.93212890625
15/07/2004,1360.52673339844
15/08/2004,1360.70532226563
15/09/2004,1360.98205566406
15/10/2004,1360.96618652344
15/11/2004,1360.88208007813
15/12/2004,1361.07189941406
15/01/2005,1360.61645507813
15/02/2005,1360.7958984375
15/03/2005,1360.74536132813
15/04/2005,1360.72375488281
15/05/2005,1360.65515136719
15/06/2005,1360.63525390625
15/07/2005,1360.69665527344
15/08/2005,1360.78076171875
15/09/2005,1360.64172363281
15/10/2005,1360.77575683594
15/11/2005,1360.62182617188
15/12/2005,1360.72033691406
15/01/2006,1360.77270507813
15/02/2006,1360.740234375
15/03/2006,1360.67651367188
15/04/2006,1360.65051269531
15/05/2006,1360.84191894531
15/06/2006,1360.71435546875
15/07/2006,1360.67883300781
15/08/2006,1360.54406738281
15/09/2006,1360.7216796875
15/10/2006,1360.73645019531
15/11/2006,1360.52575683594
15/12/2006,1360.5546875
15/01/2007,1360.5341796875
15/02/2007,1360.59020996094
15/03/2007,1360.65966796875
15/04/2007,1360.59448242188
15/05/2007,1360.56689453125
15/06/2007,1360.64770507813
15/07/2007,1360.60681152344
15/08/2007,1360.65502929688
15/09/2007,1360.60095214844
15/10/2007,1360.60009765625
15/11/2007,1360.59045410156
15/12/2007,1360.59899902344
15/01/2008,1360.68664550781
15/02/2008,1360.63488769531
15/03/2008,1360.57385253906
15/04/2008,1360.66027832031
15/05/2008,1360.64379882813
15/06/2008,1360.59777832031
15/07/2008,1360.59729003906
15/08/2008,1360.58569335938
15/09/2008,1360.57739257813
15/10/2008,1360.59924316406
15/11/2008,1360.59289550781
15/12/2008,1360.56909179688
15/01/2009,1360.55651855469
15/02/2009,1360.58227539063
15/03/2009,1360.591796875
15/04/2009,1360.58166503906
15/05/2009,1360.63989257813
15/06/2009,1360.61889648438
15/07/2009,1360.58679199219
15/08/2009,1360.58532714844
15/09/2009,1360.58703613281
15/10/2009,1360.59948730469
15/11/2009,1360.67565917969
15/12/2009,1360.67224121094
15/01/2010,1360.69445800781
15/02/2010,1360.80151367188
15/03/2010,1360.76403808594
15/04/2010,1360.82897949219
15/05/2010,1360.80297851563
15/06/2010,1360.755859375
15/07/2010,1360.86206054688
15/08/2010,1360.81567382813
15/09/2010,1360.80749511719
15/10/2010,1360.70935058594
15/11/2010,1360.81591796875
15/12/2010,1360.7705078125
15/01/2011,1360.78894042969
15/02/2011,1360.81921386719
15/03/2011,1360.81872558594
15/04/2011,1361.18811035156
15/05/2011,1361.17395019531
15/06/2011,1361.07897949219
15/07/2011,1361.04138183594
15/08/2011,1360.98132324219
15/09/2011,1361.00476074219
15/10/2011,1361.16174316406
15/11/2011,1361.28369140625
15/12/2011,1361.47192382813
15/01/2012,1361.26318359375
15/02/2012,1361.23913574219
15/03/2012,1361.01232910156
15/04/2012,1361.13037109375
15/05/2012,1361.04919433594
15/06/2012,1361.18981933594
15/07/2012,1360.95825195313
15/08/2012,1361.32043457031
15/09/2012,1361.45837402344
15/10/2012,1361.24792480469
15/11/2012,1361.23071289063
15/12/2012,1361.22204589844
15/01/2013,1361.15734863281
15/02/2013,1361.20324707031
15/03/2013,1361.25085449219
15/04/2013,1361.08984375
15/05/2013,1361.32653808594
15/06/2013,1361.31677246094
15/07/2013,1361.3564453125
15/08/2013,1361.42053222656
15/09/2013,1361.39233398438
15/10/2013,1361.08959960938
15/11/2013,1361.09265136719
15/12/2013,1361.44921875
15/01/2014,1361.27392578125
15/02/2014,1361.00915527344
15/03/2014,1361.76892089844
15/04/2014,1361.4873046875
15/05/2014,1361.37780761719
15/06/2014,1361.24291992188
15/07/2014,1361.27416992188
15/08/2014,1361.48559570313
15/09/2014,1361.51147460938
15/10/2014,1361.14221191406
15/11/2014,1361.55261230469
15/12/2014,1361.48022460938
15/01/2015,1361.52368164063
15/02/2015,1361.90710449219
15/03/2015,1361.70666503906
15/04/2015,1361.70336914063
15/05/2015,1361.48486328125
15/06/2015,1361.28625488281
15/07/2015,1361.41235351563
15/08/2015,1361.08532714844
15/09/2015,1361.04614257813
15/10/2015,1361.23815917969
15/11/2015,1361.34338378906
15/12/2015,1361.21984863281
15/01/2016,1361.20104980469
15/02/2016,1361.22705078125
15/03/2016,1361.07067871094
15/04/2016,1360.7958984375
15/05/2016,1360.93591308594
15/06/2016,1360.99060058594
15/07/2016,1360.90832519531
15/08/2016,1360.91918945313
15/09/2016,1360.91564941406
15/10/2016,1360.8603515625
15/11/2016,1360.86145019531
15/12/2016,1360.74621582031
15/01/2017,1360.65795898438
15/02/2017,1360.66796875
15/03/2017,1360.60388183594
15/04/2017,1360.66455078125
15/05/2017,1360.71411132813
15/06/2017,1360.75378417969
15/07/2017,1360.58581542969
15/08/2017,1360.59118652344
15/09/2017,1360.45556640625
15/10/2017,1360.80676269531
15/11/2017,1360.75744628906
15/12/2017,1360.65771484375
15/01/2018,1360.60595703125
15/02/2018,1360.52893066406
15/03/2018,1360.56176757813
15/04/2018,1360.62817382813
15/05/2018,1360.68713378906
15/06/2018,1360.72985839844
15/07/2018,1360.70910644531
15/08/2018,1360.65637207031
15/09/2018,1360.64855957031
15/10/2018,1360.65319824219
15/11/2018,1360.62194824219
15/12/2018,1360.62536621094
15/01/2019,1360.59594726563
15/02/2019,1360.62219238281
15/03/2019,1360.61181640625
15/04/2019,1360.62390136719
15/05/2019,1360.62768554688
15/06/2019,1360.71044921875
15/07/2019,1360.6796875
15/08/2019,1360.66125488281
15/09/2019,1360.63366699219
15/10/2019,1360.66271972656
15/11/2019,1360.69030761719
15/12/2019,1360.67016601563
15/01/2020,1360.65441894531
15/02/2020,1360.61535644531
15/03/2020,1360.63989257813
15/04/2020,1360.68383789063
15/05/2020,1360.74450683594
15/06/2020,1360.75415039063
15/07/2020,1360.72814941406
15/08/2020,1360.81005859375
15/09/2020,1360.75634765625
15/10/2020,1360.79846191406
15/11/2020,1360.79797363281
15/12/2020,1360.99792480469
15/01/2021,1360.89733886719
15/02/2021,1360.79467773438
15/03/2021,1360.86437988281
15/04/2021,1360.85949707031
15/05/2021,1360.90515136719
15/06/2021,1361.03149414063
15/07/2021,1361.11633300781
15/08/2021,1361.03747558594
15/09/2021,1360.962890625
15/10/2021,1361.02770996094
15/11/2021,1361.08581542969
15/12/2021,1361.09899902344
